# Excitation rates (triniti, 6 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
14.450,3.697970e-14,4.349013e-32
14.500,3.712680e-14,4.370060e-32
14.550,3.727462e-14,4.391202e-32
14.600,3.742316e-14,4.412438e-32
14.650,3.757242e-14,4.433768e-32
14.700,3.772239e-14,4.455192e-32
14.750,3.787308e-14,4.476710e-32
14.800,3.802449e-14,4.498321e-32
14.850,3.817660e-14,4.520027e-32
14.900,3.832944e-14,4.541826e-32
14.950,3.848298e-14,4.563718e-32
15.000,3.863724e-14,4.585703e-32
15.050,3.879220e-14,4.607782e-32
15.100,3.894788e-14,4.629953e-32
15.150,3.910426e-14,4.652217e-32
15.200,3.926135e-14,4.674573e-32
15.250,3.941914e-14,4.697021e-32
15.300,3.957763e-14,4.719561e-32
15.350,3.973683e-14,4.742193e-32
15.400,3.989672e-14,4.764916e-32
15.450,4.005731e-14,4.787730e-32
15.500,4.021859e-14,4.810634e-32
15.550,4.038056e-14,4.833630e-32
15.600,4.054323e-14,4.856715e-32
15.650,4.070658e-14,4.879890e-32
15.700,4.087061e-14,4.903155e-32
15.750,4.103533e-14,4.926508e-32
15.800,4.120073e-14,4.949951e-32
15.850,4.136680e-14,4.973481e-32
15.900,4.153355e-14,4.997100e-32
15.950,4.170097e-14,5.020807e-32
16.000,4.186906e-14,5.044600e-32
16.050,4.203781e-14,5.068480e-32
16.100,4.220723e-14,5.092447e-32
16.150,4.237730e-14,5.116500e-32
16.200,4.254803e-14,5.140638e-32
16.250,4.271942e-14,5.164861e-32
16.300,4.289145e-14,5.189169e-32
16.350,4.306413e-14,5.213561e-32
16.400,4.323745e-14,5.238036e-32
16.450,4.341141e-14,5.262595e-32
16.500,4.358600e-14,5.287236e-32
16.550,4.376123e-14,5.311959e-32
16.600,4.393708e-14,5.336765e-32
16.650,4.411356e-14,5.361651e-32
16.700,4.429065e-14,5.386618e-32
16.750,4.446836e-14,5.411665e-32
16.800,4.464669e-14,5.436791e-32
16.850,4.482562e-14,5.461997e-32
16.900,4.500516e-14,5.487281e-32
16.950,4.518529e-14,5.512642e-32
17.000,4.536602e-14,5.538081e-32
17.050,4.554734e-14,5.563597e-32
17.100,4.572925e-14,5.589189e-32
17.150,4.591174e-14,5.614857e-32
17.200,4.609481e-14,5.640600e-32
17.250,4.627846e-14,5.666417e-32
17.300,4.646267e-14,5.692308e-32
17.350,4.664745e-14,5.718272e-32
17.400,4.683278e-14,5.744308e-32
17.450,4.701868e-14,5.770417e-32
17.500,4.720512e-14,5.796597e-32
17.550,4.739211e-14,5.822847e-32
17.600,4.757964e-14,5.849168e-32
17.650,4.776771e-14,5.875558e-32
17.700,4.795631e-14,5.902016e-32
17.750,4.814543e-14,5.928543e-32
17.800,4.833508e-14,5.955138e-32
17.850,4.852525e-14,5.981799e-32
17.900,4.871592e-14,6.008526e-32
17.950,4.890711e-14,6.035319e-32
18.000,4.909880e-14,6.062177e-32
18.050,4.929098e-14,6.089098e-32
18.100,4.948366e-14,6.116084e-32
18.150,4.967682e-14,6.143132e-32
18.200,4.987047e-14,6.170242e-32
18.250,5.006459e-14,6.197413e-32
18.300,5.025919e-14,6.224645e-32
18.350,5.045425e-14,6.251938e-32
18.400,5.064977e-14,6.279289e-32
18.450,5.084575e-14,6.306700e-32
18.500,5.104218e-14,6.334168e-32
18.550,5.123905e-14,6.361693e-32
18.600,5.143637e-14,6.389275e-32
18.650,5.163412e-14,6.416913e-32
18.700,5.183230e-14,6.444606e-32
18.750,5.203091e-14,6.472353e-32
18.800,5.222993e-14,6.500154e-32
18.850,5.242937e-14,6.528008e-32
18.900,5.262922e-14,6.555915e-32
18.950,5.282947e-14,6.583873e-32
19.000,5.303012e-14,6.611881e-32
19.050,5.323116e-14,6.639940e-32
19.100,5.343259e-14,6.668048e-32
19.150,5.363439e-14,6.696205e-32
19.200,5.383658e-14,6.724410e-32
19.250,5.403914e-14,6.752662e-32
19.300,5.424206e-14,6.780960e-32
19.350,5.444534e-14,6.809305e-32
19.400,5.464898e-14,6.837694e-32
19.450,5.485296e-14,6.866128e-32
19.500,5.505729e-14,6.894605e-32
19.550,5.526196e-14,6.923125e-32
19.600,5.546696e-14,6.951687e-32
19.650,5.567228e-14,6.980291e-32
19.700,5.587793e-14,7.008935e-32
19.750,5.608390e-14,7.037620e-32
19.800,5.629018e-14,7.066343e-32
19.850,5.649676e-14,7.095105e-32
19.900,5.670364e-14,7.123905e-32
19.950,5.691082e-14,7.152742e-32
20.000,5.711828e-14,7.181616e-32
