# Excitation rates (ist_lisbon, 37 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
16.600,1.622158e-14,3.485934e-32
16.650,1.625479e-14,3.493176e-32
16.700,1.628785e-14,3.500386e-32
16.750,1.632078e-14,3.507565e-32
16.800,1.635355e-14,3.514714e-32
16.850,1.638619e-14,3.521831e-32
16.900,1.641868e-14,3.528919e-32
16.950,1.645104e-14,3.535975e-32
17.000,1.648325e-14,3.543002e-32
17.050,1.651532e-14,3.549999e-32
17.100,1.654726e-14,3.556966e-32
17.150,1.657905e-14,3.563903e-32
17.200,1.661071e-14,3.570811e-32
17.250,1.664224e-14,3.577690e-32
17.300,1.667362e-14,3.584539e-32
17.350,1.670488e-14,3.591360e-32
17.400,1.673600e-14,3.598151e-32
17.450,1.676698e-14,3.604914e-32
17.500,1.679784e-14,3.611649e-32
17.550,1.682856e-14,3.618355e-32
17.600,1.685915e-14,3.625033e-32
17.650,1.688961e-14,3.631683e-32
17.700,1.691994e-14,3.638304e-32
17.750,1.695014e-14,3.644899e-32
17.800,1.698022e-14,3.651465e-32
17.850,1.701016e-14,3.658004e-32
17.900,1.703998e-14,3.664516e-32
17.950,1.706967e-14,3.671000e-32
18.000,1.709924e-14,3.677458e-32
18.050,1.712868e-14,3.683889e-32
18.100,1.715800e-14,3.690292e-32
18.150,1.718720e-14,3.696670e-32
18.200,1.721627e-14,3.703021e-32
18.250,1.724522e-14,3.709345e-32
18.300,1.727405e-14,3.715643e-32
18.350,1.730275e-14,3.721916e-32
18.400,1.733134e-14,3.728162e-32
18.450,1.735981e-14,3.734383e-32
18.500,1.738816e-14,3.740577e-32
18.550,1.741639e-14,3.746747e-32
18.600,1.744450e-14,3.752891e-32
18.650,1.747249e-14,3.759009e-32
18.700,1.750037e-14,3.765103e-32
18.750,1.752813e-14,3.771172e-32
18.800,1.755578e-14,3.777215e-32
18.850,1.758331e-14,3.783234e-32
18.900,1.761073e-14,3.789228e-32
18.950,1.763804e-14,3.795198e-32
19.000,1.766523e-14,3.801143e-32
19.050,1.769230e-14,3.807064e-32
19.100,1.771927e-14,3.812961e-32
19.150,1.774613e-14,3.818834e-32
19.200,1.777287e-14,3.824683e-32
19.250,1.779950e-14,3.830508e-32
19.300,1.782603e-14,3.836310e-32
19.350,1.785244e-14,3.842088e-32
19.400,1.787875e-14,3.847842e-32
19.450,1.790495e-14,3.853573e-32
19.500,1.793104e-14,3.859281e-32
19.550,1.795702e-14,3.864966e-32
19.600,1.798290e-14,3.870628e-32
19.650,1.800867e-14,3.876267e-32
19.700,1.803434e-14,3.881883e-32
19.750,1.805990e-14,3.887477e-32
19.800,1.808535e-14,3.893047e-32
19.850,1.811070e-14,3.898596e-32
19.900,1.813595e-14,3.904122e-32
19.950,1.816110e-14,3.909626e-32
20.000,1.818614e-14,3.915108e-32
